fid,x,y,class,uid
328.0,1130.0299,451.16983,car,100.0
329.0,1573.1923,804.2222,car,99.0
329.0,1124.4775,446.17633,car,100.0
330.0,1570.2653,802.04865,car,99.0
330.0,1120.41,442.06906,car,100.0
331.0,1569.0017,800.9606,car,99.0
331.0,1117.9884,438.77484,car,100.0
332.0,1565.7056,798.8121,car,99.0
332.0,1115.7921,435.47,car,100.0
333.0,1565.7056,798.8121,car,99.0
333.0,1114.5067,432.54785,car,100.0
334.0,1565.7056,798.8121,car,99.0
334.0,1112.1384,429.33264,car,100.0
335.0,1565.7056,798.8121,car,99.0
335.0,1108.4323,425.37314,car,100.0
336.0,1565.7056,798.8121,car,99.0
336.0,1104.0974,421.07892,car,100.0
337.0,1567.3516,799.885,car,99.0
337.0,1096.9772,415.38794,car,100.0
338.0,1567.3516,799.885,car,99.0
338.0,1089.3428,409.4394,car,100.0
339.0,1567.3516,799.885,car,99.0
339.0,1082.0526,403.56973,car,100.0
340.0,1567.3516,799.885,car,99.0
340.0,1076.3439,398.47238,car,100.0
341.0,1567.7406,799.87463,car,99.0
341.0,1071.1573,393.84137,car,100.0
342.0,1568.1296,799.86426,car,99.0
342.0,1067.6924,390.33414,car,100.0
343.0,1568.5189,799.8539,car,99.0
343.0,1065.2919,387.57507,car,100.0
344.0,1568.9082,799.84344,car,99.0
344.0,1062.7263,384.87872,car,100.0
345.0,1567.6481,798.75946,car,99.0
345.0,1058.6204,381.62823,car,100.0
346.0,1566.0027,797.68854,car,99.0
346.0,1053.9716,378.09128,car,100.0
347.0,1566.0027,797.68854,car,99.0
347.0,1049.5623,374.55917,car,100.0
348.0,1566.0027,797.68854,car,99.0
348.0,1044.2365,370.4028,car,100.0
349.0,1566.0027,797.68854,car,99.0
349.0,1038.6007,365.96002,car,100.0
350.0,1567.2593,798.76996,car,99.0
350.0,1033.6132,361.89117,car,100.0
351.0,1566.8707,798.7805,car,99.0
351.0,1028.6982,357.88156,car,100.0
352.0,1564.839,797.7206,car,99.0
352.0,1024.3984,354.22342,car,100.0
353.0,1563.1993,796.6525,car,99.0
353.0,1021.0619,351.23294,car,100.0
354.0,1561.5641,795.5872,car,99.0
354.0,1018.12555,348.6012,car,100.0
355.0,1559.9324,794.52435,car,99.0
355.0,1014.32495,345.38608,car,100.0
356.0,1559.9324,794.52435,car,99.0
356.0,1009.8782,341.96936,car,100.0
357.0,1559.9324,794.52435,car,99.0
357.0,1003.612,337.85358,car,100.0
358.0,1559.9324,794.52435,car,99.0
358.0,996.7837,333.579,car,100.0
359.0,1559.9324,794.52435,car,99.0
359.0,989.4233,329.15915,car,100.0
360.0,1560.3181,794.51324,car,99.0
360.0,982.53424,325.12396,car,100.0
361.0,1560.704,794.5022,car,99.0
361.0,976.2494,321.41626,car,100.0
362.0,1562.7236,795.5544,car,99.0
362.0,971.0134,318.2709,car,100.0
363.0,1564.3611,796.6201,car,99.0
363.0,966.1642,315.4572,car,100.0
364.0,1566.0027,797.68854,car,99.0
364.0,961.68427,312.60083,car,100.0
365.0,1566.0027,797.68854,car,99.0
365.0,957.41327,309.74124,car,100.0
366.0,1566.0027,797.68854,car,99.0
366.0,951.7003,306.2474,car,100.0
367.0,1564.3611,796.6201,car,99.0
367.0,944.7601,302.1145,car,100.0
368.0,1562.7236,795.5544,car,99.0
368.0,936.81104,297.34375,car,100.0
369.0,1561.0898,794.4911,car,99.0
369.0,929.17456,292.98032,car,100.0
370.0,1562.7236,795.5544,car,99.0
370.0,921.2773,288.82816,car,100.0
371.0,1564.3611,796.6201,car,99.0
371.0,914.48004,285.4795,car,100.0
372.0,1564.3611,796.6201,car,99.0
372.0,909.2564,283.06674,car,100.0
373.0,1564.3611,796.6201,car,99.0
373.0,904.08575,281.01068,car,100.0
374.0,1564.3611,796.6201,car,99.0
374.0,897.55304,278.44662,car,100.0
375.0,1562.7236,795.5544,car,99.0
375.0,890.4579,276.11728,car,100.0
376.0,1561.0898,794.4911,car,99.0
376.0,883.2452,273.59177,car,100.0
377.0,1561.0898,794.4911,car,99.0
377.0,875.43506,270.72302,car,100.0
378.0,1561.0898,794.4911,car,99.0
378.0,868.1345,268.1016,car,100.0
379.0,1561.0898,794.4911,car,99.0
379.0,861.794,265.86664,car,100.0
380.0,1561.0898,794.4911,car,99.0
380.0,856.15137,263.77808,car,100.0
381.0,1561.0898,794.4911,car,99.0
381.0,850.46735,261.7578,car,100.0
382.0,1561.0898,794.4911,car,99.0
382.0,844.37274,259.9162,car,100.0
383.0,1561.0898,794.4911,car,99.0
383.0,837.67773,258.03537,car,100.0
384.0,1561.0898,794.4911,car,99.0
384.0,831.612,256.5741,car,100.0
385.0,1561.0898,794.4911,car,99.0
385.0,825.438,254.92308,car,100.0
386.0,1561.0898,794.4911,car,99.0
386.0,819.74005,253.71404,car,100.0
387.0,1561.0898,794.4911,car,99.0
387.0,814.11786,252.5211,car,100.0
388.0,1561.0898,794.4911,car,99.0
388.0,808.9866,251.47653,car,100.0
389.0,1561.0898,794.4911,car,99.0
389.0,803.2097,250.14609,car,100.0
390.0,1561.0898,794.4911,car,99.0
390.0,797.5764,249.07117,car,100.0
391.0,1561.0898,794.4911,car,99.0
391.0,791.4455,247.6832,car,100.0
392.0,1561.0898,794.4911,car,99.0
392.0,786.0801,246.60403,car,100.0
393.0,1561.0898,794.4911,car,99.0
393.0,780.7837,245.53877,car,100.0
394.0,1561.0898,794.4911,car,99.0
394.0,775.6079,244.71622,car,100.0
395.0,1561.0898,794.4911,car,99.0
395.0,769.7399,243.6584,car,100.0
396.0,1561.0898,794.4911,car,99.0
